x,y,red,green,blue,hexvalue,h,s,v,luminance,hue_group,shade,name
1,1,1,0.9215686274509803,0.9333333333333333,#FFEBEE,351,0.0784313725490196,1,0.9463921568627451,red,50,red-50
1,2,1,0.803921568627451,0.8235294117647058,#FFCDD2,354,0.19607843137254902,1,0.8649019607843137,red,100,red-100
1,3,0.9372549019607843,0.6039215686274509,0.6039215686274509,#EF9A9A,0,0.35564853556485354,0.9372549019607843,0.703921568627451,red,200,red-200
1,4,0.8980392156862745,0.45098039215686275,0.45098039215686275,#E57373,0,0.4978165938864629,0.8980392156862745,0.5850980392156861,red,300,red-300
1,5,0.9372549019607843,0.3254901960784314,0.3137254901960784,#EF5350,1.1320754716981132,0.6652719665271967,0.9372549019607843,0.5077254901960785,red,400,red-400
1,6,0.9568627450980393,0.2627450980392157,0.21176470588235294,#F44336,4.105263157894737,0.7786885245901639,0.9568627450980393,0.4653725490196078,red,500,red-500
1,7,0.8980392156862745,0.2235294117647059,0.20784313725490197,#E53935,1.3636363636363638,0.7685589519650655,0.8980392156862745,0.424156862745098,red,600,red-600
1,8,0.8274509803921568,0.1843137254901961,0.1843137254901961,#D32F2F,0,0.7772511848341233,0.8274509803921568,0.3772549019607843,red,700,red-700
1,9,0.7764705882352941,0.1568627450980392,0.1568627450980392,#C62828,0,0.797979797979798,0.7764705882352941,0.3427450980392157,red,800,red-800
1,10,0.7176470588235294,0.10980392156862745,0.10980392156862745,#B71C1C,0,0.8469945355191257,0.7176470588235294,0.292156862745098,red,900,red-900
2,1,0.9882352941176471,0.8941176470588236,0.9254901960784314,#FCE4EC,340,0.09523809523809523,0.9882352941176471,0.9258039215686276,pink,50,pink-50
2,2,0.9725490196078431,0.7333333333333333,0.8156862745098039,#F8BBD0,339.34426229508193,0.24596774193548387,0.9725490196078431,0.8141568627450979,pink,100,pink-100
2,3,0.9568627450980393,0.5607843137254902,0.6941176470588235,#F48FB1,339.8019801980198,0.4139344262295082,0.9568627450980393,0.6942745098039216,pink,200,pink-200
2,4,0.9411764705882353,0.3843137254901961,0.5725490196078431,#F06292,339.71830985915494,0.5916666666666667,0.9411764705882353,0.5720784313725491,pink,300,pink-300
2,5,0.9254901960784314,0.25098039215686274,0.47843137254901963,#EC407A,339.7674418604651,0.7288135593220338,0.9254901960784314,0.4783529411764706,pink,400,pink-400
2,6,0.9137254901960784,0.11764705882352941,0.38823529411764707,#E91E63,339.60591133004925,0.871244635193133,0.9137254901960784,0.386235294117647,pink,500,pink-500
2,7,0.8470588235294118,0.10588235294117647,0.3764705882352941,#D81B60,338.09523809523813,0.875,0.8470588235294118,0.358,pink,600,pink-600
2,8,0.7607843137254902,0.09411764705882353,0.3568627450980392,#C2185B,336.35294117647055,0.8762886597938144,0.7607843137254902,0.3230196078431372,pink,700,pink-700
2,9,0.6784313725490196,0.0784313725490196,0.3411764705882353,#AD1457,333.7254901960784,0.884393063583815,0.6784313725490196,0.28733333333333333,pink,800,pink-800
2,10,0.5333333333333333,0.054901960784313725,0.30980392156862746,#880E4F,328.0327868852459,0.8970588235294118,0.5333333333333333,0.22647058823529412,pink,900,pink-900
3,1,0.9529411764705882,0.8980392156862745,0.9607843137254902,#F3E5F5,292.5,0.0653061224489796,0.9607843137254902,0.9214117647058824,purple,50,purple-50
3,2,0.8823529411764706,0.7450980392156863,0.9058823529411765,#E1BEE7,291.2195121951219,0.1774891774891775,0.9058823529411765,0.8039607843137255,purple,100,purple-100
